Sample_ID,Correctness,Relevance,Hinglish_Naturalness,Human_Avg_Score,LLM_Judge_Score
1,8.8,7.8,7.6,8.07,8.5
1,8.8,7.8,7.6,8.07,5.0
1,8.8,7.8,7.6,8.07,8.5
1,8.8,7.8,7.6,8.07,8.5
1,8.8,7.8,7.6,8.07,8.5
1,8.8,7.8,7.6,8.07,8.5
1,8.8,7.8,7.6,8.07,8.5
1,8.8,7.8,7.6,8.07,8.5
2,6.8,7.8,8.0,7.53,8.5
2,6.8,7.8,8.0,7.53,8.5
2,6.8,7.8,8.0,7.53,8.5
2,6.8,7.8,8.0,7.53,8.5
2,6.8,7.8,8.0,7.53,8.5
2,6.8,7.8,8.0,7.53,8.5
2,6.8,7.8,8.0,7.53,8.5
2,6.8,7.8,8.0,7.53,8.5
3,6.4,8.4,7.8,7.53,8.5
3,6.4,8.4,7.8,7.53,8.5
3,6.4,8.4,7.8,7.53,8.5
3,6.4,8.4,7.8,7.53,8.5
3,6.4,8.4,7.8,7.53,8.5
3,6.4,8.4,7.8,7.53,8.5
3,6.4,8.4,7.8,7.53,8.5
3,6.4,8.4,7.8,7.53,8.5
4,6.0,7.8,6.4,6.73,8.5
4,6.0,7.8,6.4,6.73,8.5
4,6.0,7.8,6.4,6.73,8.5
4,6.0,7.8,6.4,6.73,6.0
4,6.0,7.8,6.4,6.73,2.0
4,6.0,7.8,6.4,6.73,8.5
4,6.0,7.8,6.4,6.73,1.0
4,6.0,7.8,6.4,6.73,8.5
5,7.2,8.0,7.6,7.6,8.5
5,7.2,8.0,7.6,7.6,8.5
5,7.2,8.0,7.6,7.6,8.5
5,7.2,8.0,7.6,7.6,8.5
5,7.2,8.0,7.6,7.6,8.5
5,7.2,8.0,7.6,7.6,8.5
5,7.2,8.0,7.6,7.6,7.5
5,7.2,8.0,7.6,7.6,8.5
6,8.0,6.4,6.8,7.07,8.5
6,8.0,6.4,6.8,7.07,8.5
6,8.0,6.4,6.8,7.07,8.5
6,8.0,6.4,6.8,7.07,2.0
6,8.0,6.4,6.8,7.07,1.0
6,8.0,6.4,6.8,7.07,8.5
6,8.0,6.4,6.8,7.07,8.5
6,8.0,6.4,6.8,7.07,8.5
7,6.4,7.0,6.4,6.6,8.5
7,6.4,7.0,6.4,6.6,8.5
7,6.4,7.0,6.4,6.6,8.5
7,6.4,7.0,6.4,6.6,8.5
7,6.4,7.0,6.4,6.6,8.5
7,6.4,7.0,6.4,6.6,8.5
7,6.4,7.0,6.4,6.6,8.5
7,6.4,7.0,6.4,6.6,8.5
8,6.4,7.2,9.0,7.53,8.5
8,6.4,7.2,9.0,7.53,8.5
8,6.4,7.2,9.0,7.53,8.5
8,6.4,7.2,9.0,7.53,8.5
8,6.4,7.2,9.0,7.53,8.5
8,6.4,7.2,9.0,7.53,8.5
8,6.4,7.2,9.0,7.53,8.5
8,6.4,7.2,9.0,7.53,8.5
9,8.2,6.6,6.2,7.0,8.5
9,8.2,6.6,6.2,7.0,8.5
9,8.2,6.6,6.2,7.0,8.5
9,8.2,6.6,6.2,7.0,8.5
9,8.2,6.6,6.2,7.0,8.5
9,8.2,6.6,6.2,7.0,8.5
9,8.2,6.6,6.2,7.0,8.5
9,8.2,6.6,6.2,7.0,8.5
10,8.0,7.4,6.0,7.13,8.5
10,8.0,7.4,6.0,7.13,8.5
10,8.0,7.4,6.0,7.13,8.5
10,8.0,7.4,6.0,7.13,8.5
10,8.0,7.4,6.0,7.13,8.5
10,8.0,7.4,6.0,7.13,5.0
10,8.0,7.4,6.0,7.13,8.5
10,8.0,7.4,6.0,7.13,8.5
11,7.8,6.2,8.2,7.4,8.5
11,7.8,6.2,8.2,7.4,8.5
11,7.8,6.2,8.2,7.4,8.5
11,7.8,6.2,8.2,7.4,8.5
11,7.8,6.2,8.2,7.4,8.5
11,7.8,6.2,8.2,7.4,8.5
11,7.8,6.2,8.2,7.4,8.5
11,7.8,6.2,8.2,7.4,8.5
12,7.6,8.2,8.2,8.0,2.0
12,7.6,8.2,8.2,8.0,4.0
12,7.6,8.2,8.2,8.0,8.5
12,7.6,8.2,8.2,8.0,8.5
12,7.6,8.2,8.2,8.0,8.5
12,7.6,8.2,8.2,8.0,8.5
12,7.6,8.2,8.2,8.0,8.5
12,7.6,8.2,8.2,8.0,8.5
13,7.0,6.2,6.2,6.47,8.5
13,7.0,6.2,6.2,6.47,8.5
13,7.0,6.2,6.2,6.47,5.0
13,7.0,6.2,6.2,6.47,8.5
13,7.0,6.2,6.2,6.47,8.5
13,7.0,6.2,6.2,6.47,8.5
13,7.0,6.2,6.2,6.47,8.5
13,7.0,6.2,6.2,6.47,8.5
14,7.8,7.2,7.6,7.53,8.5
14,7.8,7.2,7.6,7.53,8.5
14,7.8,7.2,7.6,7.53,8.5
14,7.8,7.2,7.6,7.53,8.5
14,7.8,7.2,7.6,7.53,8.5
14,7.8,7.2,7.6,7.53,8.5
14,7.8,7.2,7.6,7.53,8.5
14,7.8,7.2,7.6,7.53,8.5
15,6.8,7.2,7.2,7.07,8.5
15,6.8,7.2,7.2,7.07,8.5
15,6.8,7.2,7.2,7.07,8.5
15,6.8,7.2,7.2,7.07,8.5
15,6.8,7.2,7.2,7.07,8.5
15,6.8,7.2,7.2,7.07,8.5
15,6.8,7.2,7.2,7.07,8.5
15,6.8,7.2,7.2,7.07,8.5
16,8.2,7.0,8.2,7.8,8.5
16,8.2,7.0,8.2,7.8,6.0
16,8.2,7.0,8.2,7.8,8.5
16,8.2,7.0,8.2,7.8,8.5
16,8.2,7.0,8.2,7.8,6.5
16,8.2,7.0,8.2,7.8,8.5
16,8.2,7.0,8.2,7.8,8.5
16,8.2,7.0,8.2,7.8,8.5
17,8.2,8.6,5.8,7.53,8.5
17,8.2,8.6,5.8,7.53,8.5
17,8.2,8.6,5.8,7.53,8.5
17,8.2,8.6,5.8,7.53,8.5
17,8.2,8.6,5.8,7.53,8.5
17,8.2,8.6,5.8,7.53,8.5
17,8.2,8.6,5.8,7.53,8.5
17,8.2,8.6,5.8,7.53,8.5
18,8.4,7.2,6.2,7.27,8.5
18,8.4,7.2,6.2,7.27,8.5
18,8.4,7.2,6.2,7.27,8.5
18,8.4,7.2,6.2,7.27,8.5
18,8.4,7.2,6.2,7.27,6.5
18,8.4,7.2,6.2,7.27,8.5
18,8.4,7.2,6.2,7.27,8.5
18,8.4,7.2,6.2,7.27,8.5
19,8.0,7.2,7.0,7.4,2.0
19,8.0,7.2,7.0,7.4,0.0
19,8.0,7.2,7.0,7.4,8.5
19,8.0,7.2,7.0,7.4,8.5
19,8.0,7.2,7.0,7.4,2.0
19,8.0,7.2,7.0,7.4,0.0
19,8.0,7.2,7.0,7.4,8.5
19,8.0,7.2,7.0,7.4,8.5
20,7.8,7.8,8.4,8.0,8.5
20,7.8,7.8,8.4,8.0,8.5
20,7.8,7.8,8.4,8.0,8.5
20,7.8,7.8,8.4,8.0,8.5
20,7.8,7.8,8.4,8.0,8.5
20,7.8,7.8,8.4,8.0,8.5
20,7.8,7.8,8.4,8.0,8.5
20,7.8,7.8,8.4,8.0,8.5
21,8.4,8.0,6.0,7.47,8.5
21,8.4,8.0,6.0,7.47,0.0
21,8.4,8.0,6.0,7.47,8.5
21,8.4,8.0,6.0,7.47,8.5
21,8.4,8.0,6.0,7.47,2.5
21,8.4,8.0,6.0,7.47,1.0
21,8.4,8.0,6.0,7.47,8.5
21,8.4,8.0,6.0,7.47,8.5
22,8.0,8.4,7.6,8.0,8.5
22,8.0,8.4,7.6,8.0,8.5
22,8.0,8.4,7.6,8.0,8.5
22,8.0,8.4,7.6,8.0,8.5
22,8.0,8.4,7.6,8.0,8.5
22,8.0,8.4,7.6,8.0,8.5
22,8.0,8.4,7.6,8.0,8.5
22,8.0,8.4,7.6,8.0,8.5
23,7.0,7.6,7.0,7.2,8.5
23,7.0,7.6,7.0,7.2,8.5
23,7.0,7.6,7.0,7.2,8.5
23,7.0,7.6,7.0,7.2,8.5
23,7.0,7.6,7.0,7.2,8.5
23,7.0,7.6,7.0,7.2,8.5
23,7.0,7.6,7.0,7.2,8.5
23,7.0,7.6,7.0,7.2,8.5
24,6.6,8.6,7.2,7.47,8.5
24,6.6,8.6,7.2,7.47,8.5
24,6.6,8.6,7.2,7.47,8.5
24,6.6,8.6,7.2,7.47,8.5
24,6.6,8.6,7.2,7.47,8.5
24,6.6,8.6,7.2,7.47,2.0
24,6.6,8.6,7.2,7.47,8.5
24,6.6,8.6,7.2,7.47,8.5
25,6.8,8.0,6.0,6.93,8.5
25,6.8,8.0,6.0,6.93,8.5
25,6.8,8.0,6.0,6.93,8.5
25,6.8,8.0,6.0,6.93,8.5
25,6.8,8.0,6.0,6.93,8.5
25,6.8,8.0,6.0,6.93,8.5
25,6.8,8.0,6.0,6.93,8.5
25,6.8,8.0,6.0,6.93,8.5
26,7.2,5.4,7.6,6.73,8.5
26,7.2,5.4,7.6,6.73,8.5
26,7.2,5.4,7.6,6.73,8.5
26,7.2,5.4,7.6,6.73,8.5
26,7.2,5.4,7.6,6.73,8.5
26,7.2,5.4,7.6,6.73,8.5
26,7.2,5.4,7.6,6.73,8.5
26,7.2,5.4,7.6,6.73,8.5
27,6.4,7.0,7.6,7.0,8.5
27,6.4,7.0,7.6,7.0,8.5
27,6.4,7.0,7.6,7.0,8.5
27,6.4,7.0,7.6,7.0,8.5
27,6.4,7.0,7.6,7.0,8.5
27,6.4,7.0,7.6,7.0,8.5
27,6.4,7.0,7.6,7.0,8.5
27,6.4,7.0,7.6,7.0,8.5
28,6.8,6.2,6.0,6.33,8.5
28,6.8,6.2,6.0,6.33,8.5
28,6.8,6.2,6.0,6.33,8.5
28,6.8,6.2,6.0,6.33,8.5
28,6.8,6.2,6.0,6.33,8.5
28,6.8,6.2,6.0,6.33,8.5
28,6.8,6.2,6.0,6.33,8.5
28,6.8,6.2,6.0,6.33,5.0
29,7.6,8.0,7.4,7.67,8.5
29,7.6,8.0,7.4,7.67,8.5
29,7.6,8.0,7.4,7.67,8.5
29,7.6,8.0,7.4,7.67,8.5
29,7.6,8.0,7.4,7.67,8.5
