question,answer
"Sir, Bharat ke panchayati raj vyavastha ka uddeshya kya hai?","Bharat ke panchayati raj vyavastha ka uddeshya gram sarkar ko majboot banana aur gaon ke vikas ke liye jimmedari dena hai, jisse gram vikas aur swaraj ka sapna poora ho sake."
"Pehli baar insaani itihaas mein kaun si 'transcending concern' saamne aayi hai? Jab pehli baar hum insaani itihaas mein dekhte hain ki ek aisi chintaa saamne aayi hai jo ki sirf logon ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Humne apni maujoodgi ke buniyadi pehluon par ek holistic nazarandaaz shuru kiya hai. Environmental samasya humari mrityu ka sanket nahin hai, yeh humari bhavishya ki passport hai. Naye duniya drishtikon ka uday hua hai","Pehli baar insaani itihaas mein saamne aayi 'transcending concern' sirf insaan ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Yeh ek holistic nazarandaaz ki or badhne ka sanket hai, jismein environmental samasya ko humari mrityu ka sanket nahin, balki bhavishya ki passport maana ja raha hai."
"Sir, kya aap bata sakte hain ki Mughal empire ka itihaas kya hai?","Mughal empire ka itihaas 1526 se 1857 tak ka hai. Iska sansthaapak Babur tha, jo ek turk shaasak tha. Unke baad, Humayun, Akbar, Jahangir, Shahjahan, aur Aurangzeb jaise maharath shaasak huye."
"Ma'am, mitosis kya hota hai, isme kitne phases hote hain?","Mitosis ek tarah ka cell division process hai, isme 4 phases hote hain - prophase, metaphase, anaphase, aur telophase."
Jab bachcha paida hota hai toh uski kya condition hoti hai?,Bachcha lifeless paida hota hai
"Khan Azam Khan ke claims ko landlord, moneylender aur priest kaise dekhte hain?","Unhein irihaas aur shakki nazron se dekhte hain, kuch usse nakli kehte hain aur kuch kehte hain ki uske purvaj Mughal darbar mein safai karne wale the"
The Tale of Melon City mein jab king ne guilt ko postpone karne ka decision liya toh crowd ki kya reaction thi?,Crowd restless ho gayi aur log jor jor se bolne lage
"Formal aur informal letters me kaun si difference hai unke purpose ke basis par? Aam taur par do tarah ke letters hote hai, formal jo official business aur information ke liye likhe jate hai aur informal jo personal letters hote hai apne friends aur family se communicate karne ke liye","Formal letters official business aur information convey karne ke liye likhe jate hai, jo ki civic life me requirements ke liye ya public bodies ke liye hote hai. Informal letters, dusri taraf, personal letters hote hai jo friends aur family se communicate karne ke liye use hote hai"
"Sir, kya humne Chandrayaan mission ke baare me padha tha, isme kaun se instruments use hue?","Haan, humne Chandrayaan mission ke baare me padha tha, isme many instruments use hue jaise ki terrain mapping camera, lunar laser ranging instrument, aur X-ray spectrometer."
"Green Movement kab shuru hua aur uske shuru hone ke thodi der baad kya bada event hua? Itni jaldi aur itni tez se poora human race ko koi movement aaj tak nahin chhua hai jaise ki Green Movement ne, jo lagbhag 25 saal pehle shuru hua tha. 1972 mein New Zealand mein duniya ki pehli nationwide Green party banayi gayi thi.","Green Movement lagbhag 25 saal pehle 1994 se shuru hua tha (karib 1969 mein). 1972 mein, duniya ki pehli nationwide Green party New Zealand mein banayi gayi thi."
"Passage ko analyse karne ke baad summarise karne ka process kya hota hai? Isme hum note-making wale steps follow karte hain, jaise ki important ideas ko underline karna, unhein abbreviate karke verbs ko short karke likhna, examples, explanations, aur repetition ko avoid karna. Lekin nominalising ke bajaye hum points ko full sentences mein expand karte hain aur suitable connectors se link karte hain.","Key steps hain important ideas ko underline karna, verbs ko short karke unhein likhna, examples, explanations, aur repetition ko avoid karna. Phir nominalising ke bajaye points ko full sentences mein expand karna aur suitable connectors se link karna."
"Ma'am, human body mein circulatory system kaise kaam karta hai?","Human body mein circulatory system dil, blood vessels, aur blood ke saath milkar kaam karta hai. Yah oxygen aur nutrients ko puray sharir mein pahunchata hai aur carbon dioxide aur waste products ko remove karta hai."
Mother's Day play ki setting kya hai?,London ke ek suburb mein Pearson family ka living-room hai
"Sir, kya aap bata sakte hain ki ancient civilization of Mesopotamia ka itihaas kya hai?","Ancient civilization of Mesopotamia ka itihaas lagbhag 4500 BCE se 539 BCE tak ka hai. Ismein hamein sulabh sheheron, snaanagharon, aur anya suvidhaon ke avshesh milte hain. Ye log apne samay ke liye bahut aage the aur unhone bahut si nai cheezein khoji."
"Ma'am, kya hum geography meh natural resources ke baare meh jaan sakte hai?","Haan, natural resources jaise ki water, mineral, fossil fuels, aur forests bahut mahatvapoorn hoti hai. In resources ki upyogita aur sanrakshan bahut zaruri hai."
"Pass summit ki elevation kya thi, aur wahan kya traditional markers milte hain? Hum finally pass ke top par 5,515 metres par pahunch gaye. Yeh ek bade cairn of rocks se marked tha, jahan white silk scarves aur ragged prayer flags lage hue the.","Pass summit 5,515 metres par tha, aur yeh ek bade cairn of rocks se marked tha, jahan white silk scarves aur ragged prayer flags lage hue the."
"The Tale of Melon City mein arch ke baare mein conflict kyu hua, King ne plans mein kya change kiya tha?",Jab architect ne plans king ko dikhaye toh usne kuch changes kiye
What is the process of eutrophication?,"Eutrophication is the process by which a body of water becomes enriched with excess nutrients, such as nitrogen and phosphorus. This can lead to an overgrowth of algae, which can deplete the oxygen in the water and harm aquatic life. Eutrophication can be caused by human activities such as agricultural runoff, sewage, and industrial waste."
"Ma'am, mineral kya hota hai?",Mineral ek aisi vastu hoti hai jo prakriti mein paayi jaati hai aur jiske gunon ko hum upyog mein laate hain. Mineral ki aavashyakata humari jeevan shaili ko banaye rakhne ke liye hoti hai.
1994 mein kaun si ghatna thi jisne India ke shehri girawat ko global taur par ujagar kiya?,1994 mein Surat mein pneumonic plague ne India ke shehri girawat ko global taur par ujagar kiya
"Kya saboot hai ki Sahara desert 6000 saal pehle ek 'green' aur 'perfectly liveable' jagah tha? 6000 saal pehle, Sahara ek alag jagah tha, wo green tha. Sahara mein prehistoric rock art mein kuchh aisa dikhaya gaya hai jo hairan kar dene wala hai: hippopotamuses, jo saal bhar paani ki zaroorat hai.","6000 saal pehle Sahara green tha, aur prehistoric rock art mein hippopotamuses dikhaye gaye hain, jo saal bhar paani ki zaroorat hai, isse pata chalta hai ki wo ek 'perfectly liveable' environment tha."
"When Mourad usko uthata hai, narrator ko kya dikhta hai?",Mourad ek sundar safed ghode par baitha hua
What did Satyajit used to enjoy about his success in the village?,He enjoyed the wide-eyed wonder and eager homage of people like Uncle Srinath who had use and longing for his money.
Thomas Gray ke 'An Elegy Written in a Country Churchyard' se diya gaya stanza ka core message ya simple statement kya hai? Full many a gem of purest ray serene The dark unfathom’d caves of ocean bear Full many a flower is born to blush unseen And waste its fragrance in the desert air. Is stanza ka simple statement kya hai: kayi log apne outstanding qualities ke saath jeete hain aur duniya ki nazar mein aane ke bina mar jaate hain.,Yeh stanza yeh simple statement deta hai ki kayi log apne outstanding qualities ke saath jeete hain aur duniya ki nazar mein aane ke bina mar jaate hain.
What did Paul's mother mean by 'luck'?,It's what causes you to have money.
