question,answer,topic,class_level
"Sir, biodiversity ke bare mein batayein, yeh kya hota hai?","Biodiversity ka matlab hai kisi ek jagah par paye jaane wale sabhi jeev-jantu, paudhe, aur micro-organisms ki vividhata. Yeh humari prithvi ki sahajeevi vividhata ko darshata hai.",Biology,12
"Ma'am, plate tectonics kya hai?","Plate tectonics ek theory hai jo earth ke crust ke movement ko explain karti hai. Iske anusar, earth ka crust kai chhote-chhote tukdon mein divided hai jo lagatar move karte hain.",Geography,11
"Sir, acid rain ke kaaran kya hain?","Acid rain ke mukhya kaaran hain industrial pollution, vehicular pollution, aur human activities jo sulphur dioxide aur nitrogen oxides ko release karte hain. Yeh gases vaayumandal mein milke acid banate hain jo baad mein acid rain ke roop mein girte hain.",Environmental Science,10
"Ma'am, great barrier reef kahaan hai?","Great Barrier Reef duniya ka sabse bada coral reef system hai, jo Australia ke purvi tatt par sthit hai. Yeh lagbhag 2,300 kilometer lamba hai aur ismein kai saare coral, fish, aur anya samudri jeev-jantu paaye jaate hain.",Geography,9
"Sir, gravitational force kya hoti hai?","Gravitational force do vastuon ke beech ki akarshan shakti hai, jo unke dravyaman aur doori par nirbhar karti hai. Yeh force humein zameen par rakhti hai aur humein gurbhe ki tarah girne se rokti hai.",Physics,11
"Ma'am, red data book kya hai?","Red Data Book ek suchi hai jo endangered prajatiyon ki jaankari pradaan karti hai. Ismein un prajatiyon ka varnan hota hai jo apni sanrakshan sthiti ke kaaran vibhinn shreniyon mein aati hain, jaise ki critically endangered, endangered, ya vulnerable.",Biology,12
"Sir, what is the difference between a hurricane and a cyclone?","Hurricane aur cyclone dono hee tropical cyclones hain, lekin inka antar sirf is baat mein hai ki inhein kis naam se jaana jaata hai. Hurricane purvi Pacific aur Atlantic mahasagaron mein paaye jaate hain, jabki cyclone hind mahasagar aur paschim Pacific mein paaye jaate hain.",Geography,10
"Ma'am, water scarcity kya hai?","Water scarcity ka matlab hai paani ki kami, jo ki kayi kaarnon se ho sakti hai jaise ki paani ki kami, paani ki ashuddhata, ya paani ki asamanta. Iske kaaran logon ko paani ki kami ka saamna karna padta hai, jo unki swasthya aur jeevan-shaili par asar dalta hai.",Environmental Science,9
"Sir, photosynthesis kya hai?","Photosynthesis ek prakriya hai jismein paudhe surya ki roshni, carbon dioxide, aur paani ka upyog karke glucose aur oxygen banate hain. Yeh prakriya paudhon ko unke aahar ki aavashyakta ko poora karti hai aur saath hee oxygen bhi utpann karti hai jo jeevan ke liye aavashyak hai.",Biology,11
"Ma'am, ozone layer kya hai?",Ozone layer vaayumandal ka ek hissa hai jo ozone gas se bana hota hai. Yeh layer surya ki hanikarak ultraviolet radiation ko absorb karti hai aur humein iske nuksaan se bachati hai.,Environmental Science,10
"Sir, what is the difference between a meteor and a meteorite?","Meteor ek chhota patthar hota hai jo antariksh se zameen par girta hai, jabki meteorite wahi patthar hai jo zameen par pahunchne ke baad bhi apni sanrachna ko banaye rakhta hai. Meteors ko aksar shooting stars ke roop mein dekha jaata hai.",Physics,12
"Ma'am, deforestation kya hai?","Deforestation ka matlab hai vanon ki katai, jo ki kayi kaarnon se ho sakti hai jaise ki krishi, vikas, ya logon ki aavashyaktaon ko poora karne ke liye. Iske kaaran vaatavaran par hanikarak asar padta hai, jaise ki jalvayu parivartan, mitti erosion, aur jeev-jantuon ki hasti ko khatra.",Environmental Science,9
"Sir, earthquake kya hota hai?","Earthquake ek prakar ki bhukamp hoti hai, jo ki earth ke andar ki gatividhi ke kaaran hoti hai. Ismein earth ke andar ki plates ka movement hota hai, jo ki vaayumandal mein tarangon ko utpann karta hai aur zameen ko hilata hai.",Geography,10
"Ma'am, what is the water cycle?","Water cycle ek prakriya hai jismein paani vaayumandal, zameen, aur samudra ke beech chalta rehta hai. Ismein paani ki vaashpikaran, sanchayan, aur punaravapti shamil hoti hai, jo ki prithvi par jeevan ko banaye rakhti hai.",Geography,9
