sample_id,model,question,technique,generated_answer,latency_sec,tokens,ground_truth,quality_score
0,llama-3.1-8b-instant,"Sir, Bharat ke panchayati raj vyavastha ka uddeshya kya hai?",zero_shot,"Bhai, Bharat ke panchayati raj vyavastha ka uddeshya ye hai ki gram sabha, panchayat samiti aur janpad panchayat ki sahayata se gram kshetra ke vikas aur samasyaon ka hal ho sake. Ye vyavastha gram ki swashaktata aur sashaktikaran ko badhane ki koshish karti hai.",0.576,163,"Bharat ke panchayati raj vyavastha ka uddeshya gram sarkar ko majboot banana aur gaon ke vikas ke liye jimmedari dena hai, jisse gram vikas aur swaraj ka sapna poora ho sake.",8.5
0,llama-3.1-8b-instant,"Sir, Bharat ke panchayati raj vyavastha ka uddeshya kya hai?",few_shot,"Bhaiya, Bharat ke panchayati raj vyavastha ka uddeshya hai ki gram sabha, gram panchayat, zila parishad aadi ke madhyam se praja ki aawaaz suni ja sake aur unki samasyaon ka hal kiya ja sake. Ismein logon ko apne gaon ki nigrani mein saksham banaya jaata hai, aur unhein apne samasyaon ka samadhan karne ke liye paryaapt shakti di jaati hai.",0.414,219,"Bharat ke panchayati raj vyavastha ka uddeshya gram sarkar ko majboot banana aur gaon ke vikas ke liye jimmedari dena hai, jisse gram vikas aur swaraj ka sapna poora ho sake.",8.5
0,llama-3.1-8b-instant,"Sir, Bharat ke panchayati raj vyavastha ka uddeshya kya hai?",chain_of_thought,"Arre bhai, Bharat ke panchayati raj vyavastha ka uddeshya samajhne ke liye humein kuch chhote chhote steps mein vichar karna hoga.

Step 1: Pehle, humein panchayati raj vyavastha ki visheshtaon ko samajhna hoga. Panchayati raj vyavastha ek loktantrik vyavastha hai jismein gram sabha, panchayat samiti, aur zila parishad jaise vyaktiyo ki bhoomika hoti hai.

Step 2: Ab, humein is vyavastha ki uddeshyon ko samajhna hoga. Panchayati raj vyavastha ka mukhya uddeshya gram sabha ke madhyam se nijiyeen ",3.146,604,"Bharat ke panchayati raj vyavastha ka uddeshya gram sarkar ko majboot banana aur gaon ke vikas ke liye jimmedari dena hai, jisse gram vikas aur swaraj ka sapna poora ho sake.",8.5
0,llama-3.1-8b-instant,"Sir, Bharat ke panchayati raj vyavastha ka uddeshya kya hai?",structured_context,"{""answer"": ""Bharat ke panchayati raj vyavastha ka uddeshya gram sabhaon ko shaktishali banane aur gram vikas ke liye panchayaton ko samriddh karna hai."", ""explanation"": ""Yeh vyavastha panchayaton ko gram ki sarkar ke roop mein dhang se kaam karne ki shakti pradan karti hai. Panchayati raj vyavastha ke maamle mein gram sabhaon ko shamil kiya jaata hai, jo niji panchayaton ke roop mein kaam karte hain. Isse gram ki sarkar aur logon ke beech mein sampark badhta hai aur gram ki sarkar ko apne logon ",5.736,279,"Bharat ke panchayati raj vyavastha ka uddeshya gram sarkar ko majboot banana aur gaon ke vikas ke liye jimmedari dena hai, jisse gram vikas aur swaraj ka sapna poora ho sake.",8.5
0,llama-3.1-8b-instant,"Sir, Bharat ke panchayati raj vyavastha ka uddeshya kya hai?",hierarchical_context,"Bhai, panchayati raj vyavastha Bharat ke desh me ek bahut hi mahatvapurna vyavastha hai. Iski paheli Bharat ke rashtrapita Mahatma Gandhi ne kee thee, aur 1959 mein Rajiv Gandhi ke netritva me isey aayojit kiya gaya tha.

Panchayati raj ka uddeshya hai ki gram sabha, jis me sabhi naagrik shaamil hote hain, desh ke vikas aur vikas ki yojana banayein. Ye gram sabha panchayat ke roop me kaam karti hai, jismein gram pradhaan, up-pradhaan, aur anya memba hote hain.

Panchayati raj vyavastha ke tathya",1.025,510,"Bharat ke panchayati raj vyavastha ka uddeshya gram sarkar ko majboot banana aur gaon ke vikas ke liye jimmedari dena hai, jisse gram vikas aur swaraj ka sapna poora ho sake.",8.5
0,llama-3.1-8b-instant,"Sir, Bharat ke panchayati raj vyavastha ka uddeshya kya hai?",rag_style,"Sir, Bharat ke panchayati raj vyavastha ka uddeshya yeh hai ki graam sabhyata ko sudharne aur graameen sansadhanon ko swatantra roop se prapt karne ke liye. Iske madhyam se, gram sabhaon ko sashan aur vikas ke karyon mein hissa lene ki anumati di jaati hai.",6.452,181,"Bharat ke panchayati raj vyavastha ka uddeshya gram sarkar ko majboot banana aur gaon ke vikas ke liye jimmedari dena hai, jisse gram vikas aur swaraj ka sapna poora ho sake.",8.5
0,llama-3.1-8b-instant,"Sir, Bharat ke panchayati raj vyavastha ka uddeshya kya hai?",tree_of_thought,"Ek vichar hai: 
Panchayati raj vyavastha ka uddeshya hai Bharat mein gram-swaraj aur gram-samasyaon ka samadhan karna. Yeh vyavastha gram panchayaton ko sashakt banana aur unhein niji swaraj aur swatantrata dilana hai.

Dusra vichar hai: 
Panchayati raj vyavastha ka uddeshya hai paryaapt shiksha, swasthya, aur aarthik vikas pradaan karna. Yeh vyavastha gram panchayaton ko shiksha, swasthya, aur aarthik vikas ke kshetron mein karya karna hai.

Tisra vichar hai: 
Panchayati raj vyavastha ka uddesh",2.763,397,"Bharat ke panchayati raj vyavastha ka uddeshya gram sarkar ko majboot banana aur gaon ke vikas ke liye jimmedari dena hai, jisse gram vikas aur swaraj ka sapna poora ho sake.",8.5
0,llama-3.1-8b-instant,"Sir, Bharat ke panchayati raj vyavastha ka uddeshya kya hai?",agentic_context,"Arre, sabse pehle samajh lete hain. Question kah rha hai Bharat ke panchayati raj vyavastha ka uddeshya kya hai. Toh ab soch lete hain...

Panchayati raj vyavastha Bharat mein gram panchayat, jila parishad aur vidhan sabha ki vyavastha hai. Yeh vyavastha logon ke beech shakti ke vitaran aur unki bhagidari ko badhawa dene ke liye hai. 

Ab, is uddeshya ko yeh khatra hai:

- Gram panchayat ke dwara gram samasyaon ka hal
- Panchayat ki shakti aur aadhikar badhawa
- Loktantra aur shasan ki sakriya b",3.788,389,"Bharat ke panchayati raj vyavastha ka uddeshya gram sarkar ko majboot banana aur gaon ke vikas ke liye jimmedari dena hai, jisse gram vikas aur swaraj ka sapna poora ho sake.",8.5
1,llama-3.1-8b-instant,"Pehli baar insaani itihaas mein kaun si 'transcending concern' saamne aayi hai? Jab pehli baar hum insaani itihaas mein dekhte hain ki ek aisi chintaa saamne aayi hai jo ki sirf logon ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Humne apni maujoodgi ke buniyadi pehluon par ek holistic nazarandaaz shuru kiya hai. Environmental samasya humari mrityu ka sanket nahin hai, yeh humari bhavishya ki passport hai. Naye duniya drishtikon ka uday hua hai",zero_shot,"Arre, yeh kya hai! Pehli baar insaani itihaas mein humne ""Climate Change"" naam ki ek badi-badi chintaa saamne aayi hai. Yeh kuch bhi nahin hai, balki poore grah ki suraksha ke liye ek bahut badi chunauti hai. Pehle hum sirf apni maujoodgi ke liye chintate the, lekin ab humne apni maujoodgi ke buniyadi pehluon par ek holistic nazarandaaz shuru kiya hai.

Ab hum jaante hain ki humari maujoodgi sirf humari hawa, paani, aur mitti par nahin, balki poore grah ke liye bhi mahatvapoorn hai. Yeh ek bahut",4.025,673,"Pehli baar insaani itihaas mein saamne aayi 'transcending concern' sirf insaan ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Yeh ek holistic nazarandaaz ki or badhne ka sanket hai, jismein environmental samasya ko humari mrityu ka sanket nahin, balki bhavishya ki passport maana ja rah",8.5
1,llama-3.1-8b-instant,"Pehli baar insaani itihaas mein kaun si 'transcending concern' saamne aayi hai? Jab pehli baar hum insaani itihaas mein dekhte hain ki ek aisi chintaa saamne aayi hai jo ki sirf logon ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Humne apni maujoodgi ke buniyadi pehluon par ek holistic nazarandaaz shuru kiya hai. Environmental samasya humari mrityu ka sanket nahin hai, yeh humari bhavishya ki passport hai. Naye duniya drishtikon ka uday hua hai",few_shot,"Bhaiya, yeh ek bahut hi nai chunauti hai. Yeh kaha jata hai ki pahli baar hum insaani itihaas mein ek aisi chintaa saamne aayi hai jo ki poore grah ki suraksha ki baat kar rahi hai. Ye ek transcendental chintaa hai, jo ki sirf humari nahin, balki sabhi jivon ki aur sambhavnaon ki baat kar rahi hai. Humne apni maujoodgi ke alag-alag pehluon par nazar daali hai aur dekha hai ki humari environmental samasyaon se nipatne ke liye sabhi ko mil kar kaam karna hoga. Yeh ek naya drishtikon hai, jismein h",6.692,444,"Pehli baar insaani itihaas mein saamne aayi 'transcending concern' sirf insaan ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Yeh ek holistic nazarandaaz ki or badhne ka sanket hai, jismein environmental samasya ko humari mrityu ka sanket nahin, balki bhavishya ki passport maana ja rah",5.0
1,llama-3.1-8b-instant,"Pehli baar insaani itihaas mein kaun si 'transcending concern' saamne aayi hai? Jab pehli baar hum insaani itihaas mein dekhte hain ki ek aisi chintaa saamne aayi hai jo ki sirf logon ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Humne apni maujoodgi ke buniyadi pehluon par ek holistic nazarandaaz shuru kiya hai. Environmental samasya humari mrityu ka sanket nahin hai, yeh humari bhavishya ki passport hai. Naye duniya drishtikon ka uday hua hai",chain_of_thought,"Mujhe lagta hai ki is sawaal ka jawab pata karna hoga. Mujhe samajh aaya ki hum insaani itihaas mein ek nayi aur adhik vyaapak chintaa ka saamna kar rahe hain.

1. Sabse pehle, humein sochne ka prayaas karna hoga ki kya aisi chintaa jo sirf logon ki nahin balki poore grah ki suraksha ki baat kar rahi hai, insaani itihaas mein pehle baar aayi hai. Ismein humein grah ki suraksha aur humari maujoodgi ka sambandh sochna hoga.

2. Is baat ko dhyan mein rakhte hue, humein yeh sochna hoga ki kya aisi c",4.922,672,"Pehli baar insaani itihaas mein saamne aayi 'transcending concern' sirf insaan ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Yeh ek holistic nazarandaaz ki or badhne ka sanket hai, jismein environmental samasya ko humari mrityu ka sanket nahin, balki bhavishya ki passport maana ja rah",8.5
1,llama-3.1-8b-instant,"Pehli baar insaani itihaas mein kaun si 'transcending concern' saamne aayi hai? Jab pehli baar hum insaani itihaas mein dekhte hain ki ek aisi chintaa saamne aayi hai jo ki sirf logon ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Humne apni maujoodgi ke buniyadi pehluon par ek holistic nazarandaaz shuru kiya hai. Environmental samasya humari mrityu ka sanket nahin hai, yeh humari bhavishya ki passport hai. Naye duniya drishtikon ka uday hua hai",structured_context,"{""answer"": ""Insani itihaas mein pehli baar climate change (uttararth pradushan) ki samasya saamne aayi hai"", ""explanation"": ""Yeh samasya sirf hum insaano ki nahin, balki poore grah ki suraksha ke liye ek bada uddghatan hai. Humne apni maujoodgi ke buniyadi pehluon par ek holistic nazarandaaz shuru kiya hai, jisme humne apni garmi se pradoot ki ghatai, jalvayu parivartan, aur anya parivartan ke prabhaav kee visheshtagta se baat kahi hai. Yeh samasya humari mrityu ka sanket nahin hai, balki humari",5.795,495,"Pehli baar insaani itihaas mein saamne aayi 'transcending concern' sirf insaan ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Yeh ek holistic nazarandaaz ki or badhne ka sanket hai, jismein environmental samasya ko humari mrityu ka sanket nahin, balki bhavishya ki passport maana ja rah",8.5
1,llama-3.1-8b-instant,"Pehli baar insaani itihaas mein kaun si 'transcending concern' saamne aayi hai? Jab pehli baar hum insaani itihaas mein dekhte hain ki ek aisi chintaa saamne aayi hai jo ki sirf logon ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Humne apni maujoodgi ke buniyadi pehluon par ek holistic nazarandaaz shuru kiya hai. Environmental samasya humari mrityu ka sanket nahin hai, yeh humari bhavishya ki passport hai. Naye duniya drishtikon ka uday hua hai",hierarchical_context,"Arre, yeh sawaal bahut aasaan hai, lekin yeh bhi bahut jaroori hai. Pehli baar insaani itihaas mein, jo transcending concern saamne aayi hai, yeh hai Climate Change ya jalvaayu parivartan. 

Aapne yeh suna hoga ki humari zameen par temperature badh rahi hai, glaashiyar baarish hote rahi hain, aur antariksh mein carbon dioxide ki maatra badh rahi hai. Yeh sab climate change ke kaaran hua hai. Climate change ek woh chamatkaar hai jismein jalvaayu mein lagatari aur parivartan ho raha hai, jo kaee p",6.206,667,"Pehli baar insaani itihaas mein saamne aayi 'transcending concern' sirf insaan ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Yeh ek holistic nazarandaaz ki or badhne ka sanket hai, jismein environmental samasya ko humari mrityu ka sanket nahin, balki bhavishya ki passport maana ja rah",8.5
1,llama-3.1-8b-instant,"Pehli baar insaani itihaas mein kaun si 'transcending concern' saamne aayi hai? Jab pehli baar hum insaani itihaas mein dekhte hain ki ek aisi chintaa saamne aayi hai jo ki sirf logon ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Humne apni maujoodgi ke buniyadi pehluon par ek holistic nazarandaaz shuru kiya hai. Environmental samasya humari mrityu ka sanket nahin hai, yeh humari bhavishya ki passport hai. Naye duniya drishtikon ka uday hua hai",rag_style,"Bhaai, aaj hum sabki samajh mein ek naya vichar utpann hua hai. Pehli baar insaani itihaas mein humne dekha hai ki humari chinta sirf apni azaadi, khushiyon aur samriddhi ke liye nahin, balki poore grah ki suraksha ke liye bhi hai.

Isse humein pata chala hai ki humari maujoodgi ki kai cheezein hain jo humein ek holistic nazar se dhyan mein leni chahiye. Humne samajha hai ki prakriti aur humari maujoodgi ek doosre ke beech mein kai sambandh hain aur humein inhein samajhna aur samajhna hoga.

Ab ",5.958,573,"Pehli baar insaani itihaas mein saamne aayi 'transcending concern' sirf insaan ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Yeh ek holistic nazarandaaz ki or badhne ka sanket hai, jismein environmental samasya ko humari mrityu ka sanket nahin, balki bhavishya ki passport maana ja rah",8.5
1,llama-3.1-8b-instant,"Pehli baar insaani itihaas mein kaun si 'transcending concern' saamne aayi hai? Jab pehli baar hum insaani itihaas mein dekhte hain ki ek aisi chintaa saamne aayi hai jo ki sirf logon ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Humne apni maujoodgi ke buniyadi pehluon par ek holistic nazarandaaz shuru kiya hai. Environmental samasya humari mrityu ka sanket nahin hai, yeh humari bhavishya ki passport hai. Naye duniya drishtikon ka uday hua hai",tree_of_thought,"Pehli baar insaani itihaas mein 'transcending concern' saamne aayi hai, jo ki ek aisi chintaa hai jo ki sirf logon ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. 

Pehli soch: Yeh chintaa pehle bhi thi, lekin humne isey samajhne ke liye kabhi nahi paye. Humne sirf apne aap ko hi dekha, apne aap ke liye socha, aur apne aap ki chinta kiye.

Dusri soch: Lekin ab humne apni maujoodgi ke buniyadi pehluon par ek holistic nazarandaaz shuru kiya hai. Humne dekha hai ki hamari maujoodgi sir",5.996,705,"Pehli baar insaani itihaas mein saamne aayi 'transcending concern' sirf insaan ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Yeh ek holistic nazarandaaz ki or badhne ka sanket hai, jismein environmental samasya ko humari mrityu ka sanket nahin, balki bhavishya ki passport maana ja rah",8.5
1,llama-3.1-8b-instant,"Pehli baar insaani itihaas mein kaun si 'transcending concern' saamne aayi hai? Jab pehli baar hum insaani itihaas mein dekhte hain ki ek aisi chintaa saamne aayi hai jo ki sirf logon ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Humne apni maujoodgi ke buniyadi pehluon par ek holistic nazarandaaz shuru kiya hai. Environmental samasya humari mrityu ka sanket nahin hai, yeh humari bhavishya ki passport hai. Naye duniya drishtikon ka uday hua hai",agentic_context,"Yeh sawaal to ek bahut hi mahatvapoorn aur nai cheez hai. Yeh kaha raha hai ki insaani itihaas mein pehle baar ek aisa 'transcending concern' aaya hai jo sabhi logon, na ki sirf humare samuday ya desh ke liye, balki poore grah ki suraksha ke liye hai. Yeh ek bahut hi nai aur bahut hi mahatvapoorn cheez hai.

Maine iske baare mein socha hai, aur main samajhta hoon ki yeh ek naye duniya drishtikon ka uday hai. Yeh ek holistic nazarandaaz hai, jisme hum apni maujoodgi ke buniyadi pehluon par dhyan ",7.029,665,"Pehli baar insaani itihaas mein saamne aayi 'transcending concern' sirf insaan ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Yeh ek holistic nazarandaaz ki or badhne ka sanket hai, jismein environmental samasya ko humari mrityu ka sanket nahin, balki bhavishya ki passport maana ja rah",8.5
2,llama-3.1-8b-instant,"Sir, kya aap bata sakte hain ki Mughal empire ka itihaas kya hai?",zero_shot,"Mughal sultanate ka itihaas bahut majedaar hai. Yeh ek aisa samay tha jab Bharat mein ek bahut bada aur samriddh rajaatva tha, jiska mukhya kendr Agra aur Delhi tha.

Mughal sultanate ka shuruaat 1526 mein hua tha, jab Babur ne Humayun ko haraakar Bharat par aakraman kiya tha. Babur ne Hindustani sultanate ko haraakar ek naya rajaatva sthapit kiya tha.

Babur ka beta Humayun ne apne baap ke baad sultanate ki baadshah bana, lekin woh kuch samay ke liye sultanate ka mukhya kendr ghar jabarjasti me",4.426,772,"Mughal empire ka itihaas 1526 se 1857 tak ka hai. Iska sansthaapak Babur tha, jo ek turk shaasak tha. Unke baad, Humayun, Akbar, Jahangir, Shahjahan, aur Aurangzeb jaise maharath shaasak huye.",8.5
2,llama-3.1-8b-instant,"Sir, kya aap bata sakte hain ki Mughal empire ka itihaas kya hai?",few_shot,"Bhaiya, Mughal empire ka itihaas bahut hi pyara aur aisa hai jo humein ek saal mein jaanne ke liye kafi hai. Mughal empire 1526 mein Babur naamak shahiye ne banaya tha. Vah ek Turkistan se aaya tha aur Bharat mein aaya aur Humayun naamak apne beta ke saath Mughal throne par baith gaya.

Lekin Humayun ko Akbar naamak apne beta ne haraaya aur akbar ne Mughal empire ko aisa bana diya ki woh Bharat ka sabse bada empire tha. Akbar ne apne shahiye ke liye ek aisa system banaya jo logon ko sahi rahein ",5.33,709,"Mughal empire ka itihaas 1526 se 1857 tak ka hai. Iska sansthaapak Babur tha, jo ek turk shaasak tha. Unke baad, Humayun, Akbar, Jahangir, Shahjahan, aur Aurangzeb jaise maharath shaasak huye.",8.5
