sample_id,question,technique,generated_answer,latency_sec,tokens,ground_truth,quality_score
0,"Sir, Bharat ke panchayati raj vyavastha ka uddeshya kya hai?",zero_shot,ERROR,0.0,0,"Bharat ke panchayati raj vyavastha ka uddeshya gram sarkar ko majboot banana aur gaon ke vikas ke liye jimmedari dena hai, jisse gram vikas aur swaraj ka sapna poora ho sake.",8.5
0,"Sir, Bharat ke panchayati raj vyavastha ka uddeshya kya hai?",few_shot,ERROR,0.0,0,"Bharat ke panchayati raj vyavastha ka uddeshya gram sarkar ko majboot banana aur gaon ke vikas ke liye jimmedari dena hai, jisse gram vikas aur swaraj ka sapna poora ho sake.",8.5
0,"Sir, Bharat ke panchayati raj vyavastha ka uddeshya kya hai?",chain_of_thought,ERROR,0.0,0,"Bharat ke panchayati raj vyavastha ka uddeshya gram sarkar ko majboot banana aur gaon ke vikas ke liye jimmedari dena hai, jisse gram vikas aur swaraj ka sapna poora ho sake.",8.5
0,"Sir, Bharat ke panchayati raj vyavastha ka uddeshya kya hai?",structured_context,"{""answer"": ""Bharat ke panchayati raj vyavastha ka uddeshya graam sabhayein banane aur gram sabhayein ke madhyam se gram sabhakon ko swatantrata aur samriddhi pradaan karne ka hai."", ""explanation"": ""Panchayati raj vyavastha ka uddeshya gram sabhako ko sarkari karyon aur vikas yojanon ka niyaman karne ka hai, taki ve apne graamein ki samasyaon ka hal kar sakein. Yeh vyavastha graam sabhako ko swatantrata aur samriddhi pradaan karne ke liye ek platform pradan karta hai, jisse ve apne graamein ko bh",33.976,265,"Bharat ke panchayati raj vyavastha ka uddeshya gram sarkar ko majboot banana aur gaon ke vikas ke liye jimmedari dena hai, jisse gram vikas aur swaraj ka sapna poora ho sake.",8.5
0,"Sir, Bharat ke panchayati raj vyavastha ka uddeshya kya hai?",hierarchical_context,"Bachcho, aaj hum panchayati raj vyavastha par baat karenge. Bharat ke panchayati raj vyavastha ka uddeshya kya hai?

Pehle, hum panchayati raj vyavastha ki madad se kya hota hai. Hum jante hain ki Bharat ka kshetra bahut bada hai aur logon ki sankhya bhi bahut zyada hai. Isliye, ek adhikarik vyavastha ki aavashyakta hoti hai jo logon ki suraksha, svasthya, shiksha, aur utpaadakata mein sahayata kare.

Panchayati raj vyavastha ka uddeshya yeh hai ki gram panchayat, jila panchayat, aur rajya panch",1.049,563,"Bharat ke panchayati raj vyavastha ka uddeshya gram sarkar ko majboot banana aur gaon ke vikas ke liye jimmedari dena hai, jisse gram vikas aur swaraj ka sapna poora ho sake.",8.5
0,"Sir, Bharat ke panchayati raj vyavastha ka uddeshya kya hai?",rag_style,"Arre bhai, Bharat ke panchayati raj vyavastha ka uddeshya hai ki gram sabhaon ko swatantrata aur aadhaarniramya ka sthaan diya jaayega. Yeh vyavastha ki paheli hai ki gram janaon ko unki apni samasyaon ka samadhan khud karne ke liye shaktishali banaya jaayega. Gram sabhaon ko gram panchayat ke madhyam se desh ki vyavastha mein shamil kiya jaayega.",0.399,216,"Bharat ke panchayati raj vyavastha ka uddeshya gram sarkar ko majboot banana aur gaon ke vikas ke liye jimmedari dena hai, jisse gram vikas aur swaraj ka sapna poora ho sake.",8.5
0,"Sir, Bharat ke panchayati raj vyavastha ka uddeshya kya hai?",tree_of_thought,"Mein hoon kuchh vichar kar raha hoon:

1. Panchayati raj vyavastha ka uddeshya hamaare desh ke graamya kshetron mein swatantrata aur swaayatata pradaan karna hai. Iski madad se log apne gram panchayat mein swarajya ka anubhav kar sakte hain aur apne samasyaon ka samadhan kar sakte hain.

2. Is vyavastha ke madhyam se logon ko sarkari yojanaon aur samasyaon ke baare mein jaankari pradaan ki ja rahi hai, jisse vah apne gram panchayat mein sakriya bhoomika nibhayenge.

3. Panchayati raj vyavastha k",0.754,446,"Bharat ke panchayati raj vyavastha ka uddeshya gram sarkar ko majboot banana aur gaon ke vikas ke liye jimmedari dena hai, jisse gram vikas aur swaraj ka sapna poora ho sake.",8.5
0,"Sir, Bharat ke panchayati raj vyavastha ka uddeshya kya hai?",agentic_context,"Arre bhai, main samajh gaya hai question. 

Step 1: Question samajhna - Panchayati raj vyavastha Bharat mein kya kaam karti hai?

Step 2: Jaankari yaad karna - Panchayati raj vyavastha Bharat ke gramin vikas aur shasan ke liye ek aisi vyavastha hai. Ismein gram panchayat, mandal panchayat, aur zilla panchayat shaamil hain.

Step 3: Utar dena - Bharat ke panchayati raj vyavastha ka mukhya uddeshya gram panchayaton, mandal panchayaton, aur zilla panchayaton ki madad se Gramin vikas aur shasan ko s",0.749,371,"Bharat ke panchayati raj vyavastha ka uddeshya gram sarkar ko majboot banana aur gaon ke vikas ke liye jimmedari dena hai, jisse gram vikas aur swaraj ka sapna poora ho sake.",8.5
1,"Pehli baar insaani itihaas mein kaun si 'transcending concern' saamne aayi hai? Jab pehli baar hum insaani itihaas mein dekhte hain ki ek aisi chintaa saamne aayi hai jo ki sirf logon ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Humne apni maujoodgi ke buniyadi pehluon par ek holistic nazarandaaz shuru kiya hai. Environmental samasya humari mrityu ka sanket nahin hai, yeh humari bhavishya ki passport hai. Naye duniya drishtikon ka uday hua hai",zero_shot,"Aisa ek samay aaya hai jab hum sabhi insaani itihaas mein ek naye sthana par pahunch gaye hain. Pehli baar humne dekha hai ki ek aisi chinta saamne aayi hai jo ki sirf logon ki, balki poore grah ki suraksha ki baat kar rahi hai. 

Yeh ek aisa samay hai jab humne apni maujoodgi ke buniyadi pehluon par ek holistic nazarandaaz shuru kiya hai. Humne socha hai ki hum sirf apne bachchon aur parivaar ke liye hi nahin, balki poore grah ke liye bhi jeevan jite hain. 

Aise mein humne dekha hai ki environ",0.736,526,"Pehli baar insaani itihaas mein saamne aayi 'transcending concern' sirf insaan ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Yeh ek holistic nazarandaaz ki or badhne ka sanket hai, jismein environmental samasya ko humari mrityu ka sanket nahin, balki bhavishya ki passport maana ja rah",8.5
1,"Pehli baar insaani itihaas mein kaun si 'transcending concern' saamne aayi hai? Jab pehli baar hum insaani itihaas mein dekhte hain ki ek aisi chintaa saamne aayi hai jo ki sirf logon ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Humne apni maujoodgi ke buniyadi pehluon par ek holistic nazarandaaz shuru kiya hai. Environmental samasya humari mrityu ka sanket nahin hai, yeh humari bhavishya ki passport hai. Naye duniya drishtikon ka uday hua hai",few_shot,ERROR,0.0,0,"Pehli baar insaani itihaas mein saamne aayi 'transcending concern' sirf insaan ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Yeh ek holistic nazarandaaz ki or badhne ka sanket hai, jismein environmental samasya ko humari mrityu ka sanket nahin, balki bhavishya ki passport maana ja rah",8.5
1,"Pehli baar insaani itihaas mein kaun si 'transcending concern' saamne aayi hai? Jab pehli baar hum insaani itihaas mein dekhte hain ki ek aisi chintaa saamne aayi hai jo ki sirf logon ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Humne apni maujoodgi ke buniyadi pehluon par ek holistic nazarandaaz shuru kiya hai. Environmental samasya humari mrityu ka sanket nahin hai, yeh humari bhavishya ki passport hai. Naye duniya drishtikon ka uday hua hai",chain_of_thought,ERROR,0.0,0,"Pehli baar insaani itihaas mein saamne aayi 'transcending concern' sirf insaan ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Yeh ek holistic nazarandaaz ki or badhne ka sanket hai, jismein environmental samasya ko humari mrityu ka sanket nahin, balki bhavishya ki passport maana ja rah",8.5
1,"Pehli baar insaani itihaas mein kaun si 'transcending concern' saamne aayi hai? Jab pehli baar hum insaani itihaas mein dekhte hain ki ek aisi chintaa saamne aayi hai jo ki sirf logon ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Humne apni maujoodgi ke buniyadi pehluon par ek holistic nazarandaaz shuru kiya hai. Environmental samasya humari mrityu ka sanket nahin hai, yeh humari bhavishya ki passport hai. Naye duniya drishtikon ka uday hua hai",structured_context,ERROR,0.0,0,"Pehli baar insaani itihaas mein saamne aayi 'transcending concern' sirf insaan ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Yeh ek holistic nazarandaaz ki or badhne ka sanket hai, jismein environmental samasya ko humari mrityu ka sanket nahin, balki bhavishya ki passport maana ja rah",8.5
1,"Pehli baar insaani itihaas mein kaun si 'transcending concern' saamne aayi hai? Jab pehli baar hum insaani itihaas mein dekhte hain ki ek aisi chintaa saamne aayi hai jo ki sirf logon ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Humne apni maujoodgi ke buniyadi pehluon par ek holistic nazarandaaz shuru kiya hai. Environmental samasya humari mrityu ka sanket nahin hai, yeh humari bhavishya ki passport hai. Naye duniya drishtikon ka uday hua hai",hierarchical_context,ERROR,0.0,0,"Pehli baar insaani itihaas mein saamne aayi 'transcending concern' sirf insaan ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Yeh ek holistic nazarandaaz ki or badhne ka sanket hai, jismein environmental samasya ko humari mrityu ka sanket nahin, balki bhavishya ki passport maana ja rah",8.5
1,"Pehli baar insaani itihaas mein kaun si 'transcending concern' saamne aayi hai? Jab pehli baar hum insaani itihaas mein dekhte hain ki ek aisi chintaa saamne aayi hai jo ki sirf logon ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Humne apni maujoodgi ke buniyadi pehluon par ek holistic nazarandaaz shuru kiya hai. Environmental samasya humari mrityu ka sanket nahin hai, yeh humari bhavishya ki passport hai. Naye duniya drishtikon ka uday hua hai",rag_style,ERROR,0.0,0,"Pehli baar insaani itihaas mein saamne aayi 'transcending concern' sirf insaan ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Yeh ek holistic nazarandaaz ki or badhne ka sanket hai, jismein environmental samasya ko humari mrityu ka sanket nahin, balki bhavishya ki passport maana ja rah",8.5
1,"Pehli baar insaani itihaas mein kaun si 'transcending concern' saamne aayi hai? Jab pehli baar hum insaani itihaas mein dekhte hain ki ek aisi chintaa saamne aayi hai jo ki sirf logon ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Humne apni maujoodgi ke buniyadi pehluon par ek holistic nazarandaaz shuru kiya hai. Environmental samasya humari mrityu ka sanket nahin hai, yeh humari bhavishya ki passport hai. Naye duniya drishtikon ka uday hua hai",tree_of_thought,ERROR,0.0,0,"Pehli baar insaani itihaas mein saamne aayi 'transcending concern' sirf insaan ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Yeh ek holistic nazarandaaz ki or badhne ka sanket hai, jismein environmental samasya ko humari mrityu ka sanket nahin, balki bhavishya ki passport maana ja rah",8.5
1,"Pehli baar insaani itihaas mein kaun si 'transcending concern' saamne aayi hai? Jab pehli baar hum insaani itihaas mein dekhte hain ki ek aisi chintaa saamne aayi hai jo ki sirf logon ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Humne apni maujoodgi ke buniyadi pehluon par ek holistic nazarandaaz shuru kiya hai. Environmental samasya humari mrityu ka sanket nahin hai, yeh humari bhavishya ki passport hai. Naye duniya drishtikon ka uday hua hai",agentic_context,ERROR,0.0,0,"Pehli baar insaani itihaas mein saamne aayi 'transcending concern' sirf insaan ki nahin, balki poore grah ki suraksha ki baat kar rahi hai. Yeh ek holistic nazarandaaz ki or badhne ka sanket hai, jismein environmental samasya ko humari mrityu ka sanket nahin, balki bhavishya ki passport maana ja rah",8.5
2,"Sir, kya aap bata sakte hain ki Mughal empire ka itihaas kya hai?",zero_shot,"Mughal empire ka itihaas bahut hi prasiddh hai. Lekin samajhne ke liye thoda si tarah se samay badal doonga. Mughal sarkar 1526 se 1756 tak chali. Ismein ek bahut hi bada samrajya tha, jiska prarambh Babur ne kiya tha. Uske baad, Humayun, Akbar, Jehangir, Shah Jahan, aur Aurangzeb jaise ek bahut hi prasiddh shahenshahon ne yeh samrajya chalaaya.

Akbar ne Bahut hi sabhyata aur shiksha ke liye yeh samrajya khada kiya. Usne islam, hindu, aur anya dharmon ke sadbhav ko badhaya aur shiksha ka mulya ",0.763,371,"Mughal empire ka itihaas 1526 se 1857 tak ka hai. Iska sansthaapak Babur tha, jo ek turk shaasak tha. Unke baad, Humayun, Akbar, Jahangir, Shahjahan, aur Aurangzeb jaise maharath shaasak huye.",8.5
2,"Sir, kya aap bata sakte hain ki Mughal empire ka itihaas kya hai?",few_shot,"Bhaiya, Mughal empire ka itihaas bahut hi majedaar hai. Yeh ek bohot bada aur shaktishali sultanat tha jo Bharat mein 1526 se 1756 tak reha tha. 

Iska sthaapana Babur ne kiya tha, jo aapne Afganistan aur Central Asia se Bharat aaya tha. Unhone Humayun ko harane ke baad Mughal empire ka sthaapna kardi thi. 

Humayun ki patni Hamida Banu Begum ne unhe apna support diya aur Humayun ne Mughal empire ko viksit kiya. Unka beta Akbar ne empire ko aur bhi viksit kiya aur isse ""Akbar the Great"" ke naam ",5.354,577,"Mughal empire ka itihaas 1526 se 1857 tak ka hai. Iska sansthaapak Babur tha, jo ek turk shaasak tha. Unke baad, Humayun, Akbar, Jahangir, Shahjahan, aur Aurangzeb jaise maharath shaasak huye.",8.5
2,"Sir, kya aap bata sakte hain ki Mughal empire ka itihaas kya hai?",chain_of_thought,"Arre, ye toh bahut hi lamba aur rochak vishay hai. Main aapko iske bare mein kuch chhote-chhote steps mein batata hoon.

**Step 1: Mughal Samrajya ki Shuruat**
Mughal samrajya ka itihaas 1526 mein shuru hua tha jab Babar, jo ek timuri raja tha, ne Delhi par hamla karke yahaan ka pahalwan Bahlul Lodi ko haraya tha. Inhone Mughal sultanate ki sthapna ki.

**Step 2: Akbar ki Sarkar**
Akbar, jo Babar ka beta tha, ne Mughal samrajya ko apne samay ke sabse bade aur samriddh samrajya mein badal diya. U",5.706,732,"Mughal empire ka itihaas 1526 se 1857 tak ka hai. Iska sansthaapak Babur tha, jo ek turk shaasak tha. Unke baad, Humayun, Akbar, Jahangir, Shahjahan, aur Aurangzeb jaise maharath shaasak huye.",8.5
2,"Sir, kya aap bata sakte hain ki Mughal empire ka itihaas kya hai?",structured_context,"{""answer"": ""Mughal empire ka itihaas bahut hi rochak hai, jismein ek baarood ki tarah badhne waalon ke liye ek khubsurat aur shaktishali shahenshahahon ki kahaani hai. Yeh empire 1526 mein Babur ke dwara shuru hua tha, jo Hindustan mein aaya tha aur Delhi ki sarkar ko haraya tha. Babur ke baad, yeh empire apne putra Humayun ke dwara chalaya gaya, lekin unhone Bharat par kamadhenu kiya aur Pakistan ke kutchh mein ghumne gaye. 

Humayun ke baad, unke putra Akbar ne shahenshah bana aur Mughal empir",6.794,651,"Mughal empire ka itihaas 1526 se 1857 tak ka hai. Iska sansthaapak Babur tha, jo ek turk shaasak tha. Unke baad, Humayun, Akbar, Jahangir, Shahjahan, aur Aurangzeb jaise maharath shaasak huye.",5.0
2,"Sir, kya aap bata sakte hain ki Mughal empire ka itihaas kya hai?",hierarchical_context,"Arre beta, Mughal empire ka itihaas bahut hi mahatvapoorn aur rochak hai. Mughal empire Bharat ke itihaas mein ek bahut hi bada aur samriddh sultanat tha, jo 1526 se 1756 tak chala.

Mughal empire ka shuruaat Babur ne kiya tha, jo ek Taimuri shahi tha. Babur ne 1526 mein Panipat ki ladai mein Delhi sultanat ko haraya aur Mughal empire ki sthapana ki. Lekin unka shasan ek anokha tha, vah ek shikhsa prabhutv wala aur shuddh dharma prabhutv wala raja tha.

Babur ke baad, unka beta Humayun shahensha",6.274,787,"Mughal empire ka itihaas 1526 se 1857 tak ka hai. Iska sansthaapak Babur tha, jo ek turk shaasak tha. Unke baad, Humayun, Akbar, Jahangir, Shahjahan, aur Aurangzeb jaise maharath shaasak huye.",8.5
